"crop" "be" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"be" 0.0438709677419355 0.0141935483870968 0.00774193548387097 0.0412903225806452 0 0.169032258064516 0.047741935483871 0.150967741935484 0.163870967741935 0.0606451612903226 0.300645161290323
"fb" 0.00494604316546763 0.0170863309352518 0.0175359712230216 0.00899280575539568 0.0418165467625899 0.0580035971223022 0.00539568345323741 0.0274280575539568 0.0566546762589928 0.072841726618705 0.689298561151079
"gr" 0.0053625553742131 0.0146887386337142 0.650034973187223 0.0347400326416414 0.0296106318489158 0.0550244812310562 0.00349731872231289 0.022149685241315 0.0305432501748659 0.0429004429937048 0.111447889951038
"ma" 0.0187265917602996 0.0134831460674157 0.110112359550562 0.253183520599251 0.00149812734082397 0.0868913857677903 0.0179775280898876 0.0434456928838951 0.0367041198501873 0.0883895131086142 0.329588014981273
"or" 0.00250801170405462 0.00306534763828898 0.00738470112860527 0.00348334958896475 0.00097533788491013 0.0234081092378431 0.00153267381914449 0.0211787655009057 0.0359481677581162 0.0656263062560959 0.834889229483071
"ot" 0.0238056416109571 0.034240991358226 0.179031469101582 0.0458177074841024 0.115767161258764 0.178379259742377 0.0290233164845916 0.045002445785097 0.070601663133866 0.0588618946681885 0.219468449372248
"po" 0.0581222056631893 0.0014903129657228 0.0119225037257824 0.0283159463487332 0.0014903129657228 0.132637853949329 0.0327868852459016 0.0312965722801788 0.022354694485842 0.0730253353204173 0.60655737704918
"sb" 0.0346274921301154 0.055613850996852 0.0655823714585519 0.0414480587618048 0.299055613850997 0.110178384050367 0.0115424973767051 0.0860440713536201 0.0902413431269675 0.0986358866736621 0.107030430220357
"sw" 0.0221109720483938 0.0771798080934502 0.0513141426783479 0.0300375469336671 0.226115978306216 0.101376720901126 0.0137672090112641 0.0997079682937005 0.116812682519816 0.0792657488527326 0.182311222361285
"wb" 0.0253570387642087 0.0428446517050423 0.108714660448849 0.0323520839405421 0.405129699795978 0.0868551442728068 0.0104925677645001 0.0437190323520839 0.0585835033517925 0.0961818711745847 0.0897697464296124
"ww" 0.034009633630127 0.0803532331046563 0.034885418187126 0.0361990950226244 0.282148591446504 0.0875784556998978 0.019705152532477 0.0699897825135017 0.0850970661217341 0.113706028317034 0.156327543424318
