crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.00980392156862667 0.0735294117647059 0 0.102941176470588 0.0245098039215686 0.166666666666667 0.0637254901960784 0.0882352941176471 0.132352941176471 0.0490196078431373 0.28921568627451
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0151098901098899 0 0.367445054945056 0.145604395604395 0.0048076923076923 0.119505494505494 0.0563186813186813 0.10782967032967 0.0556318681318681 0.0446428571428571 0.0831043956043953
ma 0.00854700854700855 0.107692307692308 0 0.51965811965812 0 0.0974358974358974 0.0222222222222222 0.052991452991453 0.0529914529914523 0.0324786324786325 0.105982905982906
or 0 0.0425531914893617 0 0.025531914893617 0.00851063829787234 0.0680851063829787 0.025531914893617 0.0425531914893617 0.0680851063829787 0.0978723404255319 0.621276595744681
ot 0.00989208633093525 0.100719424460432 0 0.120503597122302 0.0161870503597124 0.35341726618705 0.0809352517985611 0.0872302158273381 0.110611510791367 0.0422661870503597 0.0782374100719424
po 0.00202839756592314 0.054766734279919 0 0.152129817444219 0 0.217038539553753 0.0486815415821504 0.135902636916836 0.172413793103448 0.0243407707910749 0.192697768762677
sb 0.0256 0.2048 0 0.0928 0.024 0.1168 0.0656 0.184 0.1008 0.0992 0.0864
sw 0.00490196078431373 0.137254901960784 0 0.0808823529411765 0.0220588235294118 0.191176470588235 0.0808823529411765 0.134803921568627 0.174019607843138 0.0882352941176471 0.0857843137254902
wb 0.0188953488372093 0.13953488372093 0 0.053779069767442 0.114825581395348 0.106104651162791 0.0683139534883721 0.0843023255813954 0.061046511627907 0.242732558139535 0.11046511627907
ww 0.0205479452054795 0.0949119373776908 0 0.0665362035225049 0.063600782778865 0.0909980430528376 0.063600782778865 0.073385518590998 0.0812133072407045 0.200587084148728 0.244618395303327
