crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.00380228136882129 0.0126742712294043 0.00506970849176172 0 0.0405576679340938 0.0012674271229411 0.108998732572877 0.0164765525982256 0.211660329531052 0.197718631178707 0.0684410646387833 0.333333333333333
fb 0.0075187969924812 0.0159774436090226 0.0413533834586466 0 0.0093984962406015 0.0408834586466167 0.0582706766917293 0.00610902255639098 0.0385338345864662 0.0587406015037594 0.0723684210526316 0.650845864661654
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00474993014808605 0.0290583962000559 0 0.480860575579771 0.0757194747136072 0.0469404861693213 0.0751606594020676 0.00447052249231629 0.0455434478904721 0.0388376641519977 0.0533668622520257 0.145291981000279
ma 0.015645371577575 0.0221642764015654 0.130378096479791 0 0.209908735332464 0.00130378096479791 0.0827900912646675 0.0104302477183833 0.0417209908735332 0.0482398956975228 0.0625814863102999 0.3748370273794
or 0.00282108389012621 0.00311804008908686 0.00831477357089829 0 0.00593912397921307 0.000890868596881738 0.0279138827023014 0.00252412769116555 0.0240534521158129 0.03637713437268 0.0531551596139569 0.834892353377877
ot 0.014382218348224 0.0385704946611462 0.177162780562214 0 0.0438003922423186 0.127260841141861 0.159947701024188 0.00719110917411234 0.0784484637175855 0.0692961429505339 0.0690782305513184 0.214861625626498
po 0.0207156308851224 0.00753295668549906 0.0150659133709982 0 0.0244821092278719 0.00753295668549906 0.0696798493408663 0.00376647834274953 0.0451977401129944 0.0508474576271186 0.0677966101694915 0.687382297551789
sb 0.0315151515151515 0.0472727272727273 0.0703030303030303 0 0.0351515151515152 0.284848484848485 0.096969696969697 0.0109090909090909 0.115151515151515 0.0896969696969697 0.102222222222222 0.115959595959596
sw 0.0313111545988258 0.0680039138943248 0.060665362035225 0 0.0298434442270059 0.220645792563601 0.111545988258317 0.0102739726027397 0.11105675146771 0.104696673189824 0.0919765166340509 0.159980430528376
wb 0.0295121951219513 0.0439024390243902 0.0965853658536588 0 0.0378048780487803 0.405609756097561 0.0709756097560977 0.0129268292682927 0.0534146341463415 0.0382926829268293 0.120731707317073 0.0902439024390243
ww 0.0398379473328832 0.0746492610098283 0.0385625328231675 0 0.036311801335434 0.244204366419086 0.0796008702828419 0.0207067296871479 0.0828269187485933 0.0774251631780329 0.134368669817691 0.171505739365294
