"crop" "be" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"be" 0.00837696335078534 0.0136125654450262 0.00523560209424084 0.0408376963350785 0.00104712041884817 0.0848167539267016 0.0293193717277487 0.120418848167539 0.134031413612565 0.0303664921465969 0.531937172774869
"fb" 0.00163220892274211 0.0100652883569097 0.0157780195865071 0.00353645266594124 0.00408052230685528 0.0272034820457018 0.00244831338411317 0.0228509249183896 0.0340043525571273 0.0674646354733406 0.810935799782372
"gr" 0.0145243282498184 0.037037037037037 0.593318809005083 0.0170660856935367 0.0105301379811184 0.0871459694989107 0.00617283950617284 0.0297748729121278 0.0453885257806826 0.0344952795933188 0.124546114742193
"ma" 0.0670498084291188 0.0268199233716475 0.159003831417625 0.147509578544061 0 0.153256704980843 0.0153256704980843 0.0632183908045977 0.053639846743295 0.053639846743295 0.260536398467433
"or" 0.000297796307325789 0.000893388921977367 0.00684931506849315 0.000595592614651578 0.000595592614651578 0.0139964264443121 0.00178677784395473 0.00714711137581894 0.026801667659321 0.0428826682549136 0.89815366289458
"ot" 0.0275155111950364 0.0542217426490424 0.16833018613434 0.0207715133531157 0.0428918262746156 0.178041543026706 0.0167251146479633 0.0474777448071217 0.0677097383328837 0.0690585379012679 0.307256541677907
"po" 0.0574257425742574 0.00396039603960396 0.0198019801980198 0.0198019801980198 0.00396039603960396 0.0594059405940594 0.0158415841584158 0.0237623762376238 0.0415841584158416 0.0673267326732673 0.687128712871287
"sb" 0.0297071129707113 0.139330543933054 0.0418410041841004 0.0108786610878661 0.142677824267782 0.0644351464435146 0.0108786610878661 0.13347280334728 0.105020920502092 0.099581589958159 0.222175732217573
"sw" 0.0179533213644524 0.118940754039497 0.0457809694793537 0.0107719928186715 0.0861759425493716 0.0834829443447038 0.0148114901256732 0.101436265709156 0.123877917414722 0.0893177737881508 0.307450628366248
"wb" 0.0431226765799256 0.149814126394052 0.0520446096654275 0.0141263940520446 0.252788104089219 0.0736059479553903 0.0189591078066914 0.0524163568773234 0.0713754646840149 0.129368029739777 0.142379182156134
"ww" 0.0489994389377221 0.11701265507138 0.0236269559254411 0.00910167695280843 0.109469484446107 0.0579764353843277 0.0215073873199925 0.0860918895330715 0.0768031918209588 0.109220123433701 0.34019076117449
