crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.0100755667506297 0.0705289672544081 0 0.0277078085642317 0.0151133501259446 0.0730478589420655 0.0125944584382872 0.0201511335012594 0.0327455919395468 0.105793450881612 0.632241813602015
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0441389290882779 0 0 0.214905933429813 0.0448625180897251 0.158465991316932 0.0651230101302451 0.0839363241678727 0.0629522431259046 0.0904486251808973 0.235166425470333
ma 0.00743801652892562 0.0958677685950413 0 0.307438016528926 0.00165289256198347 0.112396694214876 0.0355371900826444 0.0289256198347107 0.0338842975206612 0.0991735537190083 0.277685950413223
or 0.00318979266347687 0.0287081339712919 0 0.0167464114832536 0.0159489633173844 0.0247208931419458 0.0175438596491228 0.0215311004784696 0.0111642743221691 0.103668261562998 0.756778309409888
ot 0.0180859080633007 0.103240391861341 0 0.122833458929917 0.0715900527505652 0.230595327807084 0.0361718161266014 0.0580256217030897 0.0550113036925396 0.100979653353429 0.203466465712133
po 0.00184842883548983 0.033271719038817 0 0.0573012939001848 0.00739371534195933 0.0961182994454713 0.011090573012939 0.036968576709796 0.0369685767097967 0.125693160813309 0.593345656192237
sb 0.028 0.153333333333333 0 0.0733333333333333 0.141333333333333 0.133333333333333 0.0653333333333333 0.0960000000000018 0.105333333333333 0.0986666666666667 0.105333333333333
sw 0.0380952380952381 0.0984126984126984 0 0.0761904761904762 0.111111111111111 0.152380952380952 0.0412698412698413 0.0603174603174603 0.104761904761905 0.13968253968254 0.177777777777778
wb 0.034294621979735 0.104442712392829 0 0.106780982073266 0.267342166796571 0.101325019485581 0.0685892439594687 0.0553390491036633 0.0506625097427903 0.134840218238504 0.0763834762275917
ww 0.0502670436694942 0.0530945648759032 0 0.0914231856738926 0.187244737668866 0.0948790449261699 0.0697455230914232 0.0446120012566761 0.0480678605089538 0.15425699026076 0.206409048067861
