"crop" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"fb" 0 0.25 0.0625 0.0384615384615385 0.144230769230769 0.0192307692307692 0.115384615384615 0.0480769230769231 0.100961538461538 0.221153846153846
"gr" 0.00359088657751362 0.839834076275384 0.04172857850421 0.0029098563645369 0.0262506191183754 0.00724368499257058 0.0310797424467558 0.0130633977216444 0.0110822189202576 0.0232169390787519
"ma" 0.0014336917562724 0.13405017921147 0.447311827956989 0.0014336917562724 0.0853046594982079 0.017921146953405 0.0422939068100358 0.0315412186379928 0.0508960573476702 0.187813620071685
"or" 0.0033955857385399 0.0543293718166384 0.00848896434634975 0.0186757215619694 0.0645161290322581 0.00848896434634975 0.0458404074702886 0.0101867572156197 0.140916808149406 0.645161290322581
"ot" 0.00191693290734824 0.382108626198083 0.0830670926517572 0.0223642172523962 0.161022364217252 0.0281150159744409 0.111182108626198 0.0830670926517572 0.0619808306709265 0.0651757188498403
"po" 0.0101351351351351 0.199324324324324 0.0777027027027027 0 0.121621621621622 0.0371621621621622 0.10472972972973 0.027027027027027 0.158783783783784 0.263513513513513
"sb" 0.00805060379528465 0.358251868890167 0.0373778033352501 0.0264519838987924 0.173663024726855 0.0322024151811386 0.176538240368028 0.0603795284646348 0.078205865439908 0.0488786658999425
"sw" 0.00196078431372549 0.231372549019608 0.0647058823529412 0.0352941176470588 0.170588235294118 0.0254901960784314 0.147058823529412 0.0784313725490196 0.129411764705882 0.115686274509804
"wb" 0.00733496332518337 0.293398533007335 0.0635696821515892 0.101059494702526 0.132029339853301 0.0179299103504482 0.078239608801956 0.0464547677261614 0.175224123879381 0.084759576202119
"ww" 0.00749063670411985 0.135901551631889 0.113429641519529 0.112894596040663 0.0716960941680043 0.0246120920278224 0.0545746388443018 0.043338683788122 0.198501872659176 0.237560192616372
